Berufsgattung,Bezeichnung,Total (in T),Frauenanteil,Auslaenderanteil,Exposure,Proximity,Exp_Prox,ISCO_kurz,Orig_Source
5322.0,Haus- und Familienpfleger und -betreuer,26.675960490029343,86.7096459918262,18.8685746433151,62.5,85.0,73.75,53,1
5329.0,"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt",0.2537103250372922,78.69912100764682,22.6353808768597,89.66666666666667,86.33333333333333,88.0,53,1
5411.0,Feuerwehrleute,2.4705071037442776,2.7008956864108455,9.917681087378554,60.5,81.5,71.0,54,1
5412.0,Polizisten (ohne Polizeikommissare),19.870091360125137,18.515457972258602,2.1740539360346673,56.0,79.0,67.5,54,1
5413.0,Gefängnisaufseher,2.4830539463092833,16.276304902908677,7.191793004027474,78.5,76.0,77.25,54,1
5414.0,Sicherheitsdienstleistungspersonal,15.0217465466259,23.029293885094987,17.83190038219479,35.5,77.0,56.25,54,1
5419.0,"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt",2.9186341188583045,38.00752728529852,18.40954713394737,28.428571428571427,62.0,45.214285714285715,54,1
6111.0,Gemüseanbauer,1.2677106096400224,18.345817379195978,28.435457165361882,12.6,44.2,28.400000000000002,61,1
6112.0,Obst- und Beerenanbauer,2.9582499997067786,20.064834892824962,23.80552559881326,15.533333333333333,47.56666666666666,31.55,61,0
6113.0,"Gärtner, Gartenbau und Pflanzenproduktion",22.814692992598793,17.652308109567585,23.277706563283687,7.0,65.5,36.25,61,1
6121.0,Nutztierhalter (ohne Geflügel) und Milchproduzenten,2.7464610121827056,66.61751392181108,19.793150702550534,27.0,33.0,30.0,61,1
6122.0,Geflügelhalter,0.13532115107061954,,0.0,15.533333333333333,47.56666666666666,31.55,61,0
6130.0,Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),47.065919497962255,18.68956053838515,2.7158285706776724,15.533333333333333,47.56666666666666,31.55,61,0
6210.0,Forstarbeitskräfte und verwandte Berufe,3.767970923442387,3.1149151163269835,6.879260174512382,4.75,34.0,19.375,62,1
6222.0,Binnen- und Küstenfischer,0.31064801037860407,0.0,0.0,22.0,70.0,46.0,62,1
